SampleDate,Site,Zone,SamplingPoint,VegetationOpen,FloatingChamberDepth,DissolvedCH4,pH,Conductivity,TDS,HP_WaterTemp,Pressure,DO,HOBO_DailyAirTemp,HOBO_DailyBotWaterTemp,HOBO_DailySurfWaterTemp,HOBO_DailySedTemp,HOBO_3DayAirTemp,HOBO_3DayBotWaterTemp,HOBO_3DaySurfWaterTemp,HOBO_3DaySedTemp,HOBO_7DayAirTemp,HOBO_7DayBotWaterTemp,HOBO_7DaySurfWaterTemp,HOBO_7DaySedTemp
2025-07-14,1AO,1,A,Open,NA,110,8.49,905,452,19.23,NA,115.6,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,1AV,1,A,Vegetated,NA,184,8.49,909,454,20.53,NA,113.7,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-14,1BO,1,B,Open,NA,204,8.5,903,452,19.14,95,118.3,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,1BV,1,B,Vegetated,NA,108,8.5,907,454,19.35,94.99,113.6,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-14,1CO,1,C,Open,NA,148,8.49,903,452,18.77,94.95,115.8,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,1CV,1,C,Vegetated,NA,260,8.49,904,452,19.04,94.95,115.5,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-14,2AO,2,A,Open,NA,1380,8.45,908,454,20.69,NA,117.9,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,2AV,2,A,Vegetated,NA,NA,8.32,911,455,21.09,94.44,114.2,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-14,2BO,2,B,Open,NA,848,8.46,909,454,20.93,NA,124.1,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,2BV,2,B,Vegetated,NA,612,8.47,905,452,20.94,NA,121.3,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-14,2CO,2,C,Open,NA,375,8.51,900,449,19.7,NA,127.5,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818,21.16795455,19.04920588,19.45533333,18.39931818
2025-07-14,2CV,2,C,Vegetated,NA,146,8.48,905,454,20.42,NA,122.4,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182,21.16795455,19.04920588,19.25209091,18.20118182
2025-07-16,3AO,3,A,Open,46,229,8.51,896,448,19.04,93.97,115.9,20.861125,19.47516667,20.03680556,18.945,21.1935404,19.281189,19.89057407,18.61646717,21.1935404,19.281189,19.89057407,18.61646717
2025-07-16,3AV,3,A,Vegetated,73,289,8.5,897,448,19.08,93.97,114.9,20.861125,19.47516667,19.98391667,19.07872222,21.1935404,19.281189,19.75443771,18.64699579,21.1935404,19.281189,19.75443771,18.64699579
2025-07-16,3BO,3,B,Open,75,206,8.53,892,446,18.75,93.98,120.3,20.861125,19.47516667,20.03680556,18.945,21.1935404,19.281189,19.89057407,18.61646717,21.1935404,19.281189,19.89057407,18.61646717
2025-07-16,3BV,3,B,Vegetated,41,275,8.5,899,449,18.87,93.98,119.2,20.861125,19.47516667,19.98391667,19.07872222,21.1935404,19.281189,19.75443771,18.64699579,21.1935404,19.281189,19.75443771,18.64699579
2025-07-16,3CO,3,C,Open,72,235,8.53,899,449,18.97,94.02,120.8,20.861125,19.47516667,20.03680556,18.945,21.1935404,19.281189,19.89057407,18.61646717,21.1935404,19.281189,19.89057407,18.61646717
2025-07-16,3CV,3,C,Vegetated,48,184,8.51,900,450,18.83,94.02,115.6,20.861125,19.47516667,19.98391667,19.07872222,21.1935404,19.281189,19.75443771,18.64699579,21.1935404,19.281189,19.75443771,18.64699579
2025-07-18,1AO,1,A,Open,47,255,8.49,904,452,22.11,93.41,109.6,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,1AV,1,A,Vegetated,50,396,8.46,906,453,22.2,93.3,107.1,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,1BO,1,B,Open,65,388,8.54,899,449,22.24,93.5,126.3,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,1BV,1,B,Vegetated,35,258,8.54,901,450,22.84,93.52,117.1,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,1CO,1,C,Open,52,207,8.54,899,450,21.8,93.53,124.3,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,1CV,1,C,Vegetated,35,206,8.54,897,449,22.06,93.53,115.2,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,2AO,2,A,Open,5,192,8.52,897,448,19.32,93.49,114.8,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,2AV,2,A,Vegetated,47,310,8.54,894,447,19.43,93.5,115.1,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,2BO,2,B,Open,50,303,8.53,896,448,19.03,93.52,112.3,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,2BV,2,B,Vegetated,44,521,8.48,900,450,19.03,93.5,109.9,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,2CO,2,C,Open,60,202,8.52,897,448,18.56,93.45,108.6,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,2CV,2,C,Vegetated,44,368,8.51,898,449,18.59,93.35,108.6,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,3AO,3,A,Open,79,343,8.51,901,451,20.72,93.7,110.7,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,3AV,3,A,Vegetated,66,361,8.51,901,450,20.79,93.66,111.2,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,3BO,3,B,Open,71,537,8.5,898,449,19.95,93.45,111.9,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,3BV,3,B,Vegetated,50,319,8.5,901,450,20.1,93.45,110.3,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-18,3CO,3,C,Open,71,227,8.51,900,450,20.31,93.53,111.8,19.94683333,19.85138889,19.90022222,19.19904167,20.09340278,19.56982407,19.87237963,18.97686111,20.59994091,19.41557451,19.85041111,18.76699697
2025-07-18,3CV,3,C,Vegetated,53,308,8.51,897,448,20.42,93.51,110.7,19.94683333,19.85138889,20.32833333,18.89102778,20.09340278,19.56982407,20.09959259,18.86194444,20.59994091,19.41557451,19.91563485,18.6896197
2025-07-27,3AO,3,A,Open,NA,470,7.45,882,441,18.56,94.16,105.4,18.99325,19.34561111,19.42016667,18.81025,19.12218056,19.40640741,19.46289815,18.87766667,19.87089881,20.2005754,20.2580873,19.60232143
2025-07-27,3AV,3,A,Vegetated,NA,616,7.49,882,441,18.57,94.16,105.8,18.99325,19.34561111,19.61147222,18.47866667,19.12218056,19.40640741,19.57163889,18.41084259,19.87089881,20.2005754,20.39513889,19.25935714
2025-07-27,3BO,3,B,Open,NA,492,7.26,884,441,18.45,94.12,104.3,18.99325,19.34561111,19.42016667,18.81025,19.12218056,19.40640741,19.46289815,18.87766667,19.87089881,20.2005754,20.2580873,19.60232143
2025-07-27,3BV,3,B,Vegetated,NA,612,7.29,882,441,18.39,94.3,104.8,18.99325,19.34561111,19.61147222,18.47866667,19.12218056,19.40640741,19.57163889,18.41084259,19.87089881,20.2005754,20.39513889,19.25935714
2025-07-27,3CO,3,C,Open,NA,435,7.36,876,438,18.33,94.02,104.3,18.99325,19.34561111,19.42016667,18.81025,19.12218056,19.40640741,19.46289815,18.87766667,19.87089881,20.2005754,20.2580873,19.60232143
2025-07-27,3CV,3,C,Vegetated,NA,491,7.5,883,442,18.28,93.97,102.3,18.99325,19.34561111,19.61147222,18.47866667,19.12218056,19.40640741,19.57163889,18.41084259,19.87089881,20.2005754,20.39513889,19.25935714
2025-07-28,1AO,1,A,Open,NA,720,7.28,885,443,19.36,94.52,111.1,20.81375,19.68169444,20.13366667,18.86595833,19.939125,19.57313889,19.81783333,18.88830556,19.78617857,20.02895635,20.12629365,19.41141071
2025-07-28,1AV,1,A,Vegetated,NA,744,7.29,885,443,19.98,94.53,107.6,20.81375,19.68169444,20.02219444,18.22225,19.939125,19.57313889,19.87448148,18.36941667,19.78617857,20.02895635,20.20769048,19.02253968
2025-07-28,1BO,1,B,Open,NA,577,7.22,885,442,19.05,94.42,113.3,20.81375,19.68169444,20.13366667,18.86595833,19.939125,19.57313889,19.81783333,18.88830556,19.78617857,20.02895635,20.12629365,19.41141071
2025-07-28,1BV,1,B,Vegetated,NA,647,7.27,875,442,19.13,94.42,109.8,20.81375,19.68169444,20.02219444,18.22225,19.939125,19.57313889,19.87448148,18.36941667,19.78617857,20.02895635,20.20769048,19.02253968
2025-07-28,1CO,1,C,Open,NA,482,7.34,885,443,18.66,94.21,111.4,20.81375,19.68169444,20.13366667,18.86595833,19.939125,19.57313889,19.81783333,18.88830556,19.78617857,20.02895635,20.12629365,19.41141071
2025-07-28,1CV,1,C,Vegetated,NA,694,7.43,874,437,18.84,94.6,111.7,20.81375,19.68169444,20.02219444,18.22225,19.939125,19.57313889,19.87448148,18.36941667,19.78617857,20.02895635,20.20769048,19.02253968
2025-07-28,2AO,2,A,Open,NA,587,7.5,886,443,20.27,94.2,115.8,20.81375,19.68169444,20.13366667,18.86595833,19.939125,19.57313889,19.81783333,18.88830556,19.78617857,20.02895635,20.12629365,19.41141071
2025-07-28,2AV,2,A,Vegetated,NA,557,7.46,886,443,20.75,94.18,117.2,20.81375,19.68169444,20.02219444,18.22225,19.939125,19.57313889,19.87448148,18.36941667,19.78617857,20.02895635,20.20769048,19.02253968
2025-07-28,2BO,2,B,Open,NA,538,7.55,879,439,20.99,94.27,119.8,20.81375,19.68169444,20.13366667,18.86595833,19.939125,19.57313889,19.81783333,18.88830556,19.78617857,20.02895635,20.12629365,19.41141071
2025-07-28,2BV,2,B,Vegetated,NA,630,7.56,859,431,22.02,94.3,136.4,20.81375,19.68169444,20.02219444,18.22225,19.939125,19.57313889,19.87448148,18.36941667,19.78617857,20.02895635,20.20769048,19.02253968
