SampleDate,Site,Zone,SamplingPoint,VegetatedOpen,DaysDeployed,ConcentrationSample,TotalVolume,BubbleTrapDepth,PercentCH4,BubbleFlux,Ebull_CH4Flux
2025-07-14,1AO,1,A,Open,0.691666667,N,0,NA,1.655118197,0,0
2025-07-14,1AV,1,A,Vegetated,0.692361111,N,0,NA,6.78011515,0,0
2025-07-14,1BO,1,B,Open,0.767361111,Y,4.4,NA,1.655118197,0.09653785,1.144150042
2025-07-14,1BV,1,B,Vegetated,0.772222222,Y,67,NA,8.6635182,1.460754519,90.62079675
2025-07-14,1CO,1,C,Open,0.770138889,N,0,NA,1.655118197,0,0
2025-07-14,1CV,1,C,Vegetated,0.772222222,Y,57,NA,4.8967121,1.242731456,43.57508147
2025-07-14,2AO,2,A,Open,0.836805556,N,14,NA,0,0.281674941,0
2025-07-14,2AV,2,A,Vegetated,0.835416667,Y,6.6,NA,4.188497792,0.133010379,3.989331881
2025-07-14,2BO,2,B,Open,0.929861111,Y,17,NA,2.125880103,0.307804927,4.685659008
2025-07-14,2BV,2,B,Vegetated,0.927083333,Y,2.2,NA,0.616977449,0.03995293,0.176512016
2025-07-14,2CO,2,C,Open,0.933333333,Y,4.6,NA,0.970619568,0.082978539,0.576728183
2025-07-14,2CV,2,C,Vegetated,0.93125,Y,30,NA,14.645533,0.542375046,56.88021474
2025-07-16,3AO,3,A,Open,2.770833333,Y,52,46,11.3884548,0.315964049,25.76670107
2025-07-16,3AV,3,A,Vegetated,2.772916667,Y,71,73,17.56036415,0.431088325,54.20709389
2025-07-16,3BO,3,B,Open,2.7625,Y,60,75,3.31590035,0.365673674,8.682634326
2025-07-16,3BV,3,B,Vegetated,2.764583333,Y,37,41,25.03314055,0.225328834,40.39135782
2025-07-16,3CO,3,C,Open,2.754861111,Y,115,72,6.2219011,0.702817979,31.31282942
2025-07-16,3CV,3,C,Vegetated,2.758333333,Y,57,48,3.7624435,0.347914748,9.373443619
2025-07-18,1AO,1,A,Open,1.977777778,N,29,47,0,0.246868249,0
2025-07-18,1AV,1,A,Vegetated,1.979861111,N,0,50,0.101502146,0,0
2025-07-18,1BO,1,B,Open,1.982638889,Y,22,65,6.069969276,0.186820182,8.1201982
2025-07-18,1BV,1,B,Vegetated,1.986111111,Y,2,41,0.074631392,0.016953961,0.009060436
2025-07-18,1CV,1,C,Vegetated,1.984722222,Y,62,35,0.1283729,0.525940589,0.483466499
2025-07-18,2AO,2,A,Open,1.751388889,Y,41,NA,31.88832755,0.394135903,89.99825431
2025-07-18,2AV,2,A,Vegetated,1.752083333,Y,33,NA,22.53982994,0.317105601,51.18125055
2025-07-18,2BO,2,B,Open,1.755555556,Y,43,NA,19.4964427,0.412380964,57.57186951
2025-07-18,2BV,2,B,Vegetated,1.758333333,Y,20,NA,10.44992168,0.19150209,14.32989138
2025-07-18,2CO,2,C,Open,1.761805556,Y,67,NA,25.28069253,0.640267649,115.9062542
2025-07-18,2CV,2,C,Vegetated,1.7625,Y,58,NA,36.6227108,0.554043162,145.2949206
2025-07-18,3AO,3,A,Open,1.984027778,Y,34,NA,31.04652555,0.288519984,64.14240656
2025-07-18,3AV,3,A,Vegetated,1.983333333,Y,10,NA,1.93705818,0.084888531,1.177465065
2025-07-18,3BO,3,B,Open,1.990277778,Y,25,NA,27.79113128,0.211480849,42.08560909
2025-07-18,3BV,3,B,Vegetated,1.991666667,Y,15,NA,8.923521005,0.126800024,8.102367376
2025-07-18,3CO,3,C,Open,1.990972222,Y,43,NA,10.8415708,0.363620187,28.22906811
2025-07-18,3CV,3,C,Vegetated,1.994444444,Y,11,NA,8.596887481,0.092857176,5.716274303
2025-07-27,3AO,3,A,Open,8.929861111,N,181,NA,1.961390576,0.341254669,4.792907325
